,precision,recall,f1-score,support
Extra-Base Hit,0.4,0.0015467904098994587,0.0030816640986132513,1293.0
Home Run,0.3661858974358974,0.33455344070278187,0.3496557000765111,1366.0
Out,0.3297644539614561,0.2554956449605973,0.2879177377892031,2411.0
Single,0.459508460918614,0.7565505804311774,0.571750845970673,3015.0
accuracy,0.41508967223252935,0.41508967223252935,0.41508967223252935,0.41508967223252935
macro avg,0.3888647030789919,0.337036614126114,0.3031014869837501,8085.0
weighted avg,0.39553370984145053,0.41508967223252935,0.35864103208353354,8085.0
