"last_name, first_name",player_id,year,pa,k_percent,bb_percent,woba,xwoba,xwobacon,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent,season
"Ramírez, José",608070,2016,618,10.0,7.1,0.355,0.331,0.338,35.0,3.0,32.9,97.426159841,92.831257565,12.7,44.0,2016
"Prado, Martín",445988,2016,658,10.5,7.4,0.335,0.312,0.317,31.2,1.3,30.8,96.716693916,92.438265029,10.4,39.6,2016
"Rutledge, Josh",592710,2016,56,33.9,10.7,0.323,0.249,0.318,19.4,0.0,51.6,101.690767333,95.708481333,26.5,46.2,2016
"Cowart, Kaleb",592230,2016,87,26.4,0.0,0.19,0.233,0.31,27.0,3.2,34.9,98.688850968,93.577970484,23.5,60.3,2016
"Dozier, Brian",572821,2016,691,20.0,8.8,0.37,0.329,0.376,31.2,8.3,36.2,98.504495805,93.326305541,23.4,43.7,2016
"Morales, Kendrys",434778,2016,618,19.4,7.8,0.339,0.389,0.458,34.5,10.8,49.9,102.729617945,95.980574224,24.0,48.0,2016
"Colabello, Chris",499624,2016,32,28.1,6.3,0.121,0.206,0.224,20.0,0.0,20.0,96.12406,92.06203,31.7,48.4,2016
"Calhoun, Kole",594777,2016,672,17.6,10.0,0.34,0.35,0.384,36.2,6.2,40.5,99.688319831,94.056377367,25.3,49.5,2016
"Kim, Hyun Soo",547957,2016,346,14.7,10.4,0.352,0.345,0.359,30.2,5.1,36.5,99.19919808,93.76644084,15.4,39.7,2016
"Hendricks, Kyle",543294,2016,68,42.6,1.5,0.141,0.173,0.339,24.3,0.0,8.1,91.081985833,89.912857917,34.4,55.7,2016
"Flores, Wilmer",527038,2016,335,14.3,6.9,0.336,0.303,0.322,37.4,5.0,29.0,95.914091077,91.984468533,17.0,48.8,2016
"Brito, Sócrates",593647,2016,97,23.7,2.1,0.233,0.287,0.369,37.5,6.9,27.8,98.117001143,93.128654714,21.5,56.9,2016
"Realmuto, J.T.",592663,2016,545,18.3,5.1,0.333,0.306,0.35,28.4,3.9,35.2,98.844654951,93.53126027,19.5,48.1,2016
"Garcia, Leury",544725,2016,50,26.0,2.0,0.265,0.234,0.295,28.6,2.9,31.4,97.158355294,92.614545882,28.7,51.8,2016
"Broxton, Keon",542979,2016,244,36.1,14.8,0.343,0.326,0.461,33.3,9.2,50.0,103.590461379,96.501741565,36.9,43.5,2016
"Barnes, Austin",605131,2016,37,24.3,13.5,0.222,0.218,0.199,21.7,0.0,21.7,97.06637,92.545029091,25.7,49.7,2016
"Kelly, Don",430603,2016,30,16.7,6.7,0.209,0.237,0.249,34.8,0.0,8.7,92.523868182,90.377709048,9.4,46.5,2016
"Bethancourt, Christian",542194,2016,204,27.5,4.9,0.273,0.289,0.379,29.7,7.2,35.5,99.433242059,93.771644667,31.5,57.0,2016
"Moreland, Mitch",519048,2016,503,23.5,7.0,0.307,0.337,0.414,33.6,9.6,39.5,101.251864556,94.865020148,28.5,48.6,2016
"Arenado, Nolan",571448,2016,696,14.8,9.8,0.386,0.347,0.376,32.7,9.0,39.8,99.388730155,93.900808953,18.9,48.1,2016
"Mauer, Joe",408045,2016,576,16.1,13.7,0.327,0.357,0.382,36.5,6.0,42.9,99.073111465,93.903650684,15.3,35.5,2016
"Phegley, Josh",572033,2016,86,15.1,5.8,0.3,0.311,0.332,39.4,6.1,28.8,97.670177879,92.963132769,21.3,51.4,2016
