"last_name, first_name",player_id,year,pa,k_percent,bb_percent,woba,xwoba,xwobacon,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent,season
"Bregman, Alex",608324,2024,634,13.6,6.9,0.331,0.319,0.338,34.9,6.4,40.5,98.986527952,93.684160984,12.8,44.9,2024
"Pederson, Joc",592626,2024,449,23.4,12.2,0.391,0.378,0.443,34.2,12.8,46.2,102.648599462,95.864061892,25.0,44.0,2024
"Pages, Andy",681624,2024,443,24.4,6.5,0.31,0.321,0.394,40.8,10.7,40.1,100.310081745,94.262423423,26.1,51.0,2024
"Reynolds, Bryan",668804,2024,692,22.5,8.2,0.343,0.35,0.42,37.5,9.6,45.4,100.987209316,94.867542484,29.4,50.4,2024
"Kreidler, Ryan",668952,2024,65,29.2,9.2,0.177,0.231,0.272,17.5,5.0,22.5,94.154266842,91.379689474,32.0,46.4,2024
"Canha, Mark",592192,2024,462,20.8,11.0,0.31,0.288,0.296,31.5,3.3,37.4,98.159166424,93.219326921,21.8,41.6,2024
"Malloy, Justyn-Henry",669234,2024,230,37.0,10.0,0.291,0.267,0.365,31.9,10.9,37.8,98.290103167,93.208402605,36.6,43.9,2024
"Pillar, Kevin",607680,2024,314,22.0,5.1,0.293,0.275,0.312,36.5,3.7,29.7,96.438782936,92.245806101,24.5,52.4,2024
"Kiermaier, Kevin",595281,2024,281,30.6,4.3,0.241,0.232,0.31,27.6,3.9,30.0,97.683193765,92.874723706,37.5,54.9,2024
"Anderson, Tim",641313,2024,241,28.2,2.9,0.208,0.23,0.305,29.5,1.8,30.1,96.982041205,92.531306303,30.6,54.6,2024
"Sabol, Blake",666165,2024,38,23.7,13.2,0.352,0.327,0.375,30.4,8.7,43.5,100.935788333,95.14385,33.8,52.4,2024
"Paris, Kyren",677347,2024,59,28.8,11.9,0.207,0.269,0.317,32.4,5.9,35.3,99.428883529,93.801852059,29.8,44.4,2024
"Thaiss, Matt",642136,2024,186,31.2,15.1,0.286,0.291,0.349,33.0,8.0,40.0,99.8347254,94.000036869,39.6,44.8,2024
"Carter, Evan",694497,2024,162,26.5,9.3,0.278,0.281,0.331,33.3,5.9,32.4,97.157820196,92.58927951,23.4,38.3,2024
"Ornelas, Jonathan",680716,2024,40,32.5,5.0,0.235,0.244,0.339,24.0,0.0,56.0,103.551751667,97.1156525,29.3,46.0,2024
"Tovar, Ezequiel",678662,2024,695,28.8,3.3,0.324,0.289,0.391,38.5,9.0,39.8,99.306485852,93.964016332,33.5,62.3,2024
"Lopez, Nicky",670032,2024,445,15.1,8.3,0.275,0.268,0.27,30.0,1.5,16.9,94.065401402,91.042138226,19.4,48.5,2024
"Ward, Taylor",621493,2024,663,24.6,9.5,0.325,0.344,0.419,41.9,13.0,42.4,100.017751581,94.464585641,25.5,43.2,2024
"Barnhart, Tucker",571466,2024,96,32.3,13.5,0.239,0.24,0.272,34.6,3.8,23.1,94.614894167,91.53708766,29.8,40.3,2024
"Pinto, René",650907,2024,49,36.7,8.2,0.31,0.33,0.495,46.2,19.2,61.5,101.410450769,96.112166,42.4,49.7,2024
"Neto, Zach",687263,2024,602,23.3,6.5,0.33,0.317,0.376,29.0,8.4,38.8,100.130832864,94.28058907,27.1,48.9,2024
"Witt Jr., Bobby",677951,2024,709,15.0,8.0,0.41,0.407,0.458,35.7,14.3,48.3,103.972880446,96.499868141,22.3,51.2,2024
"Rivas, Leo",660844,2024,86,27.9,11.6,0.282,0.301,0.361,45.1,2.0,27.5,95.719631739,91.85981587,25.5,36.9,2024
"Kepler, Max",596146,2024,399,20.1,5.5,0.298,0.301,0.348,35.4,6.2,36.8,99.569991319,93.867541875,24.4,52.3,2024
"McCormick, Chas",676801,2024,267,27.0,6.4,0.257,0.285,0.353,32.2,7.5,32.8,97.920374118,93.001741775,31.3,53.2,2024
"Solano, Donovan",456781,2024,309,21.0,7.1,0.333,0.307,0.354,37.0,3.7,37.4,98.057695046,93.167454908,23.5,47.2,2024
"Wong, Connor",657136,2024,487,23.4,5.7,0.33,0.288,0.342,30.7,6.3,34.5,98.745018171,93.452738532,28.8,51.6,2024
"Mead, Curtis",678554,2024,132,22.7,4.5,0.255,0.28,0.334,36.6,4.3,36.6,99.411624468,93.833557742,23.5,52.4,2024
"Saggese, Thomas",695336,2024,52,26.9,3.8,0.247,0.248,0.308,45.7,2.9,25.7,96.543968333,92.411291143,22.5,54.0,2024
"Jackson, Alex",656577,2024,155,34.2,7.7,0.2,0.223,0.283,21.6,9.1,31.8,97.524225,92.833252184,39.7,52.7,2024
"Dunn, Oliver",686554,2024,104,38.5,5.8,0.266,0.263,0.391,33.9,5.4,46.4,100.995258519,94.782023333,36.2,44.3,2024
"Rosario, Amed",642708,2024,346,21.1,2.6,0.299,0.28,0.337,33.5,4.6,36.2,98.559932462,93.290414231,24.6,55.2,2024
"Tatis Jr., Fernando",665487,2024,438,21.9,7.3,0.359,0.387,0.47,33.7,14.5,55.8,104.418991126,97.109953874,28.1,51.3,2024
"d'Arnaud, Travis",518595,2024,341,26.1,7.0,0.319,0.322,0.402,32.9,10.4,41.0,100.537202273,94.672343091,32.8,50.7,2024
"Rutschman, Adley",668939,2024,638,16.1,9.1,0.309,0.315,0.339,35.4,6.1,36.6,98.081119454,93.149039684,17.1,44.5,2024
"Sánchez, Jesús",660821,2024,537,26.1,7.6,0.317,0.343,0.437,31.8,12.2,51.3,104.556000571,96.923820315,31.2,53.2,2024
"Rojas, Miguel",500743,2024,337,10.1,6.8,0.327,0.314,0.317,33.2,2.5,27.8,96.317826471,92.174445609,13.9,46.5,2024
"Muncy, Max",571970,2024,293,26.3,15.4,0.362,0.349,0.414,32.5,10.8,43.4,100.775015181,94.752278735,31.0,40.6,2024
"Lowe, Brandon",664040,2024,425,26.4,7.8,0.335,0.346,0.441,39.6,12.4,44.7,101.345776014,94.9549512,32.7,55.3,2024
"Moniak, Mickey",666160,2024,418,27.3,5.0,0.281,0.283,0.361,31.9,9.3,34.4,99.494460797,93.816907681,30.6,56.7,2024
"Yastrzemski, Mike",573262,2024,474,26.2,8.0,0.319,0.301,0.369,33.0,10.5,41.0,99.5562712,94.186783411,26.1,44.1,2024
"Campero, Gustavo",672569,2024,48,16.7,0.0,0.271,0.251,0.279,28.9,2.6,15.8,94.768809474,91.504922162,22.3,58.2,2024
"Norby, Connor",681393,2024,194,33.0,7.7,0.316,0.316,0.443,47.0,14.8,39.1,99.109980172,93.692715217,33.2,57.6,2024
"García, Avisaíl",541645,2024,51,25.5,2.0,0.274,0.293,0.385,27.0,8.1,29.7,99.087732632,93.693700541,29.5,60.2,2024
"Chisholm Jr., Jazz",665862,2024,621,24.5,8.5,0.327,0.316,0.386,29.6,9.7,41.1,100.122466782,94.459141861,29.3,47.5,2024
"Jansen, Danny",643376,2024,324,18.8,12.3,0.294,0.289,0.291,34.1,6.4,29.7,97.185697545,92.627349132,20.9,40.6,2024
"Alvarez, Yordan",670541,2024,635,15.0,10.9,0.402,0.411,0.457,35.4,14.5,49.7,104.097105087,96.703519522,19.9,47.8,2024
"Báez, Javier",595879,2024,289,23.9,4.2,0.224,0.264,0.326,27.7,7.8,40.0,100.532651165,94.368542976,30.2,52.4,2024
"Mountcastle, Ryan",663624,2024,507,22.5,5.3,0.316,0.332,0.408,36.2,8.8,45.2,102.105716923,95.370233104,25.1,56.1,2024
