"last_name, first_name",player_id,year,pa,k_percent,bb_percent,woba,xwoba,xwobacon,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent,season
"Meneses, Joey",608841,2022,240,21.7,6.3,0.395,0.332,0.404,39.0,9.9,47.1,101.552249535,95.227615673,23.3,48.4,2022
"Siri, Jose",642350,2022,325,33.2,6.2,0.268,0.261,0.355,35.1,6.2,33.0,99.295575789,93.653804368,35.9,51.7,2022
"Lee, Korey",686676,2022,26,34.6,3.8,0.192,0.12,0.153,12.5,0.0,25.0,93.26511125,91.043435,30.0,60.0,2022
"Gonzalez, Oscar",660757,2022,382,19.6,3.9,0.339,0.32,0.383,32.5,7.3,40.1,101.045260903,94.682138153,26.7,59.3,2022
"Garrett, Stone",656448,2022,84,32.1,3.6,0.36,0.268,0.378,28.0,10.0,52.0,101.2777156,95.5788512,35.0,56.7,2022
"Mercado, Óscar",640458,2022,128,22.7,3.9,0.266,0.258,0.31,33.3,6.5,29.0,96.400118085,92.245220968,26.6,56.7,2022
"Rosario, Eddie",592696,2022,270,25.2,6.3,0.258,0.25,0.301,32.4,5.4,33.0,97.161292527,92.836894341,32.2,53.5,2022
"Caratini, Victor",605170,2022,314,21.3,9.9,0.289,0.309,0.336,30.0,6.3,43.5,100.649286408,94.496842039,20.9,42.3,2022
"Kiner-Falefa, Isiah",643396,2022,531,13.6,6.6,0.285,0.29,0.304,29.6,1.2,30.1,96.614692718,92.355143236,11.3,44.7,2022
"Raleigh, Cal",663728,2022,415,29.4,9.2,0.33,0.324,0.422,36.0,15.4,43.5,101.200073622,95.046335375,32.1,52.6,2022
"Carpenter, Kerry",681481,2022,113,28.3,5.3,0.342,0.294,0.374,37.5,11.1,36.1,97.789840556,92.926224583,27.8,52.5,2022
"Collins, Zack",641470,2022,108,38.0,8.3,0.245,0.257,0.366,35.1,8.8,40.4,99.471708621,94.050769123,36.5,41.3,2022
"Rooker Jr., Brent",667670,2022,36,30.6,8.3,0.186,0.264,0.321,33.3,4.8,42.9,98.796148182,94.009091429,33.3,50.7,2022
