"last_name, first_name",player_id,year,pa,k_percent,bb_percent,woba,xwoba,xwobacon,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent,season
"Martinez, Carlos",593372,2017,69,27.5,1.4,0.189,0.17,0.224,14.6,0.0,8.3,91.3208885,90.381022821,29.2,60.5,2017
"Martinez, Michael",492841,2017,43,34.9,11.6,0.216,0.246,0.312,43.5,0.0,13.0,92.616677273,90.350260455,31.9,45.4,2017
"Castillo, Welington",456078,2017,365,26.6,6.0,0.344,0.341,0.445,39.0,10.2,44.3,100.162680328,94.340867213,24.6,43.3,2017
"Stewart, Chris",455755,2017,144,15.3,6.3,0.207,0.251,0.265,35.7,0.0,16.7,92.690691731,90.560085728,15.4,41.3,2017
"Pearce, Steve",456665,2017,348,19.5,7.8,0.323,0.314,0.351,35.1,6.9,35.9,98.041747581,93.026160766,21.4,47.4,2017
"Hoffman, Jeff",656546,2017,36,47.2,0.0,0.09,0.1,0.212,10.5,0.0,0.0,88.81315125,89.169729333,33.3,65.0,2017
"Kershaw, Clayton",477132,2017,59,22.0,6.8,0.208,0.223,0.254,16.7,0.0,7.5,88.0584775,89.141040645,21.4,49.6,2017
"Smith, Seth",452234,2017,373,21.2,9.7,0.332,0.349,0.405,36.9,7.1,40.9,100.332459603,94.336116548,20.6,40.9,2017
"Dietrich, Derek",518618,2017,464,21.1,7.8,0.324,0.326,0.369,32.1,5.8,32.7,97.533693013,92.792388939,20.0,46.5,2017
"Hendricks, Kyle",543294,2017,51,54.9,0.0,0.095,0.071,0.17,8.7,0.0,17.4,92.79608,90.8861505,40.4,49.7,2017
"Cuthbert, Cheslor",596144,2017,153,25.5,5.9,0.261,0.262,0.322,34.3,2.9,28.6,97.178152453,92.651949238,29.9,52.1,2017
"Stevenson, Andrew",664057,2017,66,30.3,10.6,0.21,0.26,0.318,20.5,0.0,30.8,96.579368421,92.409476757,25.4,48.6,2017
"Ruiz, Carlos",434563,2017,145,26.2,9.7,0.295,0.322,0.384,39.3,5.6,37.1,98.640769545,93.374718864,20.3,36.7,2017
"Robinson, Drew",592685,2017,121,34.7,11.6,0.323,0.323,0.453,43.1,13.8,35.4,100.18788303,94.209897385,29.2,46.4,2017
"Joseph, Tommy",571830,2017,533,24.2,6.2,0.305,0.298,0.366,30.9,7.3,40.3,101.256795902,94.721492404,26.6,49.6,2017
"Pennington, Cliff",460060,2017,217,26.7,7.4,0.279,0.266,0.324,34.5,1.4,24.6,95.205377714,91.631101295,24.7,45.2,2017
"White, Tyler",643603,2017,67,23.9,6.0,0.356,0.342,0.422,50.0,13.0,32.6,98.306643913,93.29559587,24.2,47.4,2017
"Hill, Aaron",431094,2017,80,16.3,13.8,0.225,0.307,0.302,26.8,3.6,25.0,95.760542143,91.887066607,16.4,40.1,2017
"McCann, Brian",435263,2017,399,14.5,9.5,0.323,0.326,0.337,33.8,5.4,33.8,97.364776259,92.728480612,17.0,43.2,2017
