"last_name, first_name",player_id,year,pa,k_percent,bb_percent,woba,xwoba,xwobacon,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent,season
"García, Luis",671277,2021,247,17.4,4.5,0.291,0.279,0.32,32.1,5.2,30.6,97.408231667,92.70434151,24.5,52.6,2021
"Taylor, Tyrone",621438,2021,271,21.8,7.4,0.333,0.314,0.36,29.7,7.6,37.3,99.420409247,93.871791838,23.6,49.2,2021
"Raley, Luke",670042,2021,72,34.7,2.8,0.236,0.302,0.435,34.1,12.2,39.0,100.755318,94.6927935,38.4,53.9,2021
"Guillorme, Luis",641645,2021,156,14.7,14.7,0.311,0.302,0.29,34.5,0.9,22.7,95.402536852,91.796157593,14.7,40.1,2021
"Rivera, René",425784,2021,78,37.2,5.1,0.288,0.263,0.388,30.2,9.3,39.5,100.17337,94.14501925,38.9,50.3,2021
"Motter, Taylor",600301,2021,29,27.6,10.3,0.259,0.236,0.265,33.3,5.6,44.4,100.076106667,94.29724,29.4,54.0,2021
"Garlick, Kyle",664247,2021,107,29.9,5.6,0.314,0.345,0.471,36.8,13.2,41.2,100.363832059,94.411281618,28.9,46.4,2021
"Cronenworth, Jake",630105,2021,643,14.0,8.6,0.341,0.344,0.365,35.8,7.2,35.0,98.727004664,93.509905895,13.7,43.2,2021
"Seager, Corey",608369,2021,409,16.1,11.7,0.389,0.392,0.428,36.6,12.4,49.3,102.128592069,95.562976483,28.1,53.3,2021
"Madrigal, Nick",663611,2021,215,7.9,5.1,0.335,0.289,0.285,27.7,1.1,23.4,95.013567143,91.522681099,8.4,45.5,2021
"Stevenson, Andrew",664057,2021,213,28.6,6.1,0.276,0.299,0.388,28.4,6.0,44.8,101.036386875,94.811575234,28.1,49.2,2021
"LeMahieu, DJ",518934,2021,679,13.8,10.8,0.315,0.34,0.35,33.3,3.7,43.5,100.113305573,94.512956356,14.4,41.4,2021
"Mercado, Óscar",640458,2021,238,17.6,8.8,0.294,0.279,0.292,24.9,4.0,27.7,96.078583882,92.040440059,26.7,47.6,2021
"Benintendi, Andrew",643217,2021,538,18.0,6.7,0.328,0.331,0.377,38.5,8.9,43.2,98.80441545,93.810618421,22.5,52.5,2021
"Arrieta, Jake",453562,2021,30,53.3,6.7,0.182,0.15,0.258,27.3,0.0,18.2,89.2488325,90.419522857,54.1,30.3,2021
"McCann, James",543510,2021,412,27.9,7.8,0.281,0.28,0.35,32.3,6.1,40.7,99.60505,93.951917356,27.0,50.2,2021
"Andujar, Miguel",609280,2021,162,17.3,4.3,0.288,0.305,0.35,31.5,5.5,37.0,99.424963438,93.763376693,19.4,55.2,2021
"De La Cruz, Bryan",650559,2021,219,24.2,8.2,0.339,0.301,0.362,35.4,5.4,42.2,99.438884865,93.895452993,25.2,50.1,2021
"Park, Hoy",660829,2021,150,25.3,12.0,0.279,0.292,0.335,29.3,6.5,25.0,96.297295435,92.211861648,25.4,39.3,2021
"Jones, JaCoby",592444,2021,105,40.0,4.8,0.204,0.247,0.388,41.4,8.6,36.2,99.07956931,93.672481379,36.7,52.3,2021
"Carlson, Dylan",666185,2021,619,24.6,9.2,0.336,0.322,0.383,40.6,7.0,31.1,97.425225408,92.83641898,27.9,45.0,2021
"Laureano, Ramón",657656,2021,378,25.9,7.1,0.327,0.335,0.416,37.7,10.7,40.2,100.500252231,94.372962107,27.0,48.4,2021
"Grisham, Trent",663757,2021,527,22.6,10.2,0.32,0.309,0.351,31.0,5.2,36.8,99.288052118,93.873059115,21.7,40.5,2021
"López, Pablo",641154,2021,35,48.6,0.0,0.075,0.132,0.272,27.8,5.6,22.2,95.92369125,92.692692667,44.4,57.6,2021
