id,name,swings_competitive,percent_swings_competitive,contact,avg_bat_speed,hard_swing_rate,squared_up_per_bat_contact,squared_up_per_swing,blast_per_bat_contact,blast_per_swing,swing_length,swords,batter_run_value,whiffs,whiff_per_swing,batted_ball_events,batted_ball_event_per_swing,season,"last_name, first_name",player_id,year,pa,k_percent,bb_percent,woba,xwoba,xwobacon,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
656941,"Schwarber, Kyle",27,0.8709677419354839,21,76.364338148,0.7407407407407407,0.4761904761904761,0.3703703703703703,0.4285714285714285,0.3333333333333333,7.659024444,1,3.121631571311124,6,0.2222222222222222,14,0.5185185185185185,2015,"Schwarber, Kyle",656941,2015,273,28.2,13.2,0.364,0.365,0.464,32.1,12.2,42.3,101.271060649,94.891513896,34.0,44.8
547180,"Harper, Bryce",39,0.9069767441860463,31,75.845929487,0.6153846153846154,0.3225806451612903,0.2564102564102564,0.1612903225806451,0.1282051282051282,7.473069231,1,-1.3651843959492784,8,0.2051282051282051,18,0.4615384615384615,2015,"Harper, Bryce",547180,2015,654,20.0,19.0,0.461,0.418,0.479,37.1,12.9,47.5,102.728474588,95.847158243,26.9,44.2
621439,"Buxton, Byron",34,0.918918918918919,19,75.390264412,0.4411764705882352,0.3684210526315789,0.2058823529411764,0.2105263157894736,0.1176470588235294,8.190388235,0,-1.060597983569558,15,0.4411764705882353,13,0.3823529411764705,2015,"Buxton, Byron",621439,2015,138,31.9,4.3,0.252,0.203,0.273,24.1,3.4,21.8,94.82748,91.458079474,32.6,46.6
606466,"Marte, Ketel",48,0.9056603773584906,34,75.099739375,0.5208333333333334,0.3823529411764705,0.2708333333333333,0.2647058823529412,0.1875,8.076365,0,-1.1998346351693734,14,0.2916666666666667,18,0.375,2015,"Marte, Ketel",606466,2015,247,17.4,9.7,0.33,0.287,0.303,25.0,1.7,27.8,97.295714941,92.649962588,19.4,43.8
592626,"Pederson, Joc",36,0.9,29,74.719161667,0.4444444444444445,0.3103448275862069,0.25,0.1034482758620689,0.0833333333333333,7.667863333,0,-3.061641030972396,7,0.1944444444444444,13,0.3611111111111111,2015,"Pederson, Joc",592626,2015,585,29.1,15.7,0.335,0.347,0.434,28.3,11.8,45.2,102.070124803,95.343527796,35.9,42.5
592518,"Machado, Manny",41,0.9318181818181818,30,74.480695122,0.4390243902439024,0.5,0.3658536585365853,0.3,0.2195121951219512,7.900252195,1,0.3560316199881861,11,0.2682926829268293,19,0.4634146341463415,2015,"Machado, Manny",592518,2015,713,15.6,9.8,0.37,0.345,0.371,29.7,7.6,41.7,101.713928171,95.062350934,17.6,43.2
542303,"Ozuna, Marcell",32,0.8888888888888888,22,73.664772188,0.46875,0.2272727272727272,0.15625,0.0454545454545454,0.03125,7.288963125,1,-3.0386985519316365,10,0.3125,6,0.1875,2015,"Ozuna, Marcell",542303,2015,494,22.3,6.1,0.302,0.321,0.389,29.3,6.0,45.0,102.789161734,95.795620232,26.2,47.7
545341,"Grichuk, Randal",27,0.9642857142857144,21,73.575539259,0.2962962962962963,0.2857142857142857,0.2222222222222222,0.1428571428571428,0.1111111111111111,7.644912593,0,0.136775584721268,6,0.2222222222222222,6,0.2222222222222222,2015,"Grichuk, Randal",545341,2015,350,31.4,6.3,0.37,0.338,0.479,34.1,16.8,46.3,102.940881078,96.047539363,31.6,51.5
624585,"Soler, Jorge",34,0.918918918918919,26,73.203016765,0.2941176470588235,0.3846153846153846,0.2941176470588235,0.3076923076923077,0.2352941176470588,7.934286176,0,-1.9170475125782496,8,0.2352941176470588,13,0.3823529411764705,2015,"Soler, Jorge",624585,2015,404,30.0,7.9,0.312,0.323,0.437,37.5,10.1,43.1,103.239684553,95.778705976,33.8,47.6
545361,"Trout, Mike",47,0.903846153846154,35,73.143045532,0.3404255319148936,0.2285714285714285,0.1702127659574468,0.1428571428571428,0.1063829787234042,7.292011277,2,-1.1014764539010446,12,0.2553191489361702,17,0.3617021276595745,2015,"Trout, Mike",545361,2015,682,23.2,13.5,0.415,0.422,0.525,38.9,16.4,48.6,104.322363541,96.689220935,22.0,37.4
592663,"Realmuto, J.T.",38,0.926829268292683,26,73.045039474,0.4210526315789473,0.1923076923076923,0.131578947368421,0.1538461538461538,0.1052631578947368,7.321707368,1,-2.3983389899618817,12,0.3157894736842105,11,0.2894736842105263,2015,"Realmuto, J.T.",592663,2015,467,15.0,4.1,0.298,0.314,0.353,31.9,4.3,34.3,98.315310753,93.272441375,16.3,49.9
521692,"Perez, Salvador",44,0.8627450980392157,33,72.907235909,0.3181818181818182,0.2121212121212121,0.1590909090909091,0.1515151515151515,0.1136363636363636,8.119834091,1,-1.918841646042592,11,0.25,16,0.3636363636363636,2015,"Perez, Salvador",521692,2015,553,14.8,2.4,0.3,0.298,0.342,32.8,5.3,32.6,98.159469954,93.100742654,18.1,53.9
608369,"Seager, Corey",31,0.9117647058823528,27,72.666270323,0.2258064516129032,0.2222222222222222,0.1935483870967742,0.1111111111111111,0.0967741935483871,6.671846129,1,-3.1220478255879094,4,0.1290322580645161,12,0.3870967741935484,2015,"Seager, Corey",608369,2015,113,16.8,12.4,0.421,0.421,0.475,39.2,10.1,41.8,101.889513077,95.037645385,22.4,50.9
553993,"Suárez, Eugenio",36,0.9230769230769232,22,72.649967222,0.2777777777777778,0.5909090909090909,0.3611111111111111,0.3636363636363636,0.2222222222222222,7.921216667,1,2.367104292065395,14,0.3888888888888889,13,0.3611111111111111,2015,"Suárez, Eugenio",553993,2015,398,23.6,4.3,0.328,0.278,0.343,31.3,5.3,33.5,97.558059044,92.87081886,25.3,45.5
571448,"Arenado, Nolan",36,0.8780487804878049,30,72.557606667,0.3611111111111111,0.4333333333333333,0.3611111111111111,0.0666666666666666,0.0555555555555555,8.415369722,1,2.920996461416737,6,0.1666666666666666,18,0.5,2015,"Arenado, Nolan",571448,2015,665,16.5,5.1,0.371,0.336,0.393,33.7,8.3,40.2,100.206577918,94.441647592,21.2,53.1
592885,"Yelich, Christian",34,0.8947368421052632,23,72.527293529,0.2941176470588235,0.2608695652173913,0.1764705882352941,0.1739130434782608,0.1176470588235294,7.276859412,0,-1.514505109423889,11,0.3235294117647059,11,0.3235294117647059,2015,"Yelich, Christian",592885,2015,525,19.2,9.0,0.343,0.358,0.414,30.1,4.8,45.1,101.95363038,95.456582989,22.4,43.2
624424,"Conforto, Michael",41,0.9761904761904762,29,72.35598561,0.2926829268292683,0.2068965517241379,0.1463414634146341,0.1379310344827586,0.0975609756097561,7.268247073,0,1.3041829888443544,12,0.2926829268292683,11,0.2682926829268293,2015,"Conforto, Michael",624424,2015,194,20.1,8.8,0.359,0.382,0.451,33.6,9.5,47.4,102.522867681,95.839902044,22.2,43.1
593428,"Bogaerts, Xander",35,0.8974358974358975,28,72.125123429,0.2285714285714286,0.3214285714285714,0.2571428571428571,0.1071428571428571,0.0857142857142857,7.464022571,1,-0.1871452610448024,7,0.2,14,0.4,2015,"Bogaerts, Xander",593428,2015,654,15.4,4.9,0.338,0.3,0.333,28.0,2.5,33.8,98.391584263,93.278410239,20.5,49.1
502671,"Goldschmidt, Paul",34,0.918918918918919,27,72.102405588,0.088235294117647,0.3703703703703703,0.2941176470588235,0.1481481481481481,0.1176470588235294,7.794826765,1,-1.199904061975619,7,0.2058823529411764,13,0.3823529411764705,2015,"Goldschmidt, Paul",502671,2015,694,21.8,17.0,0.418,0.403,0.487,39.2,12.5,46.3,102.005582609,95.508273792,25.2,38.1
691777,"Muncy, Max",34,0.8947368421052632,24,71.938872353,0.2352941176470588,0.3333333333333333,0.2352941176470588,0.1666666666666666,0.1176470588235294,7.171403529,3,-2.554515082859808,10,0.2941176470588235,14,0.4117647058823529,2015,"Muncy, Max",571970,2015,112,27.7,8.0,0.285,0.264,0.328,36.1,4.2,26.4,96.754775143,92.526949855,24.8,41.3
571970,"Muncy, Max",51,0.8793103448275862,36,70.749045882,0.1764705882352941,0.1388888888888889,0.0980392156862745,0.0555555555555555,0.0392156862745098,7.137329804,2,-5.0939215519628185,15,0.2941176470588235,11,0.2156862745098039,2015,"Muncy, Max",571970,2015,112,27.7,8.0,0.285,0.264,0.328,36.1,4.2,26.4,96.754775143,92.526949855,24.8,41.3
502054,"Pham, Tommy",37,0.8809523809523809,30,71.785057838,0.2702702702702703,0.2666666666666666,0.2162162162162162,0.1,0.081081081081081,6.877442973,1,-2.7632113328278605,7,0.1891891891891892,13,0.3513513513513513,2015,"Pham, Tommy",502054,2015,173,23.7,11.0,0.352,0.363,0.445,34.5,11.5,44.2,102.973610536,95.802114595,25.8,41.2
608070,"Ramírez, José",36,0.9230769230769232,28,71.594096389,0.1944444444444444,0.3571428571428571,0.2777777777777778,0.0714285714285714,0.0555555555555555,7.207406667,0,-0.3794387417081814,8,0.2222222222222222,13,0.3611111111111111,2015,"Ramírez, José",608070,2015,355,11.0,9.0,0.28,0.292,0.286,27.9,1.8,24.0,95.225044627,91.661459139,11.5,41.2
467793,"Santana, Carlos",37,0.925,31,71.471365135,0.1891891891891892,0.3548387096774194,0.2972972972972973,0.1612903225806451,0.1351351351351351,7.455707838,0,-1.2583506009398848,6,0.1621621621621621,16,0.4324324324324324,2015,"Santana, Carlos",467793,2015,666,18.3,16.2,0.331,0.345,0.361,27.9,7.2,39.7,100.380489577,94.255167488,19.4,36.6
596019,"Lindor, Francisco",40,0.9302325581395348,32,71.08657775,0.25,0.34375,0.275,0.0625,0.05,7.57108925,2,-4.493616691721243,8,0.2,15,0.375,2015,"Lindor, Francisco",596019,2015,438,15.8,6.2,0.358,0.323,0.36,27.3,3.5,36.7,99.49811525,93.97675768,18.5,51.1
592178,"Bryant, Kris",34,0.8717948717948718,19,70.829335294,0.088235294117647,0.3157894736842105,0.1764705882352941,0.0,0.0,7.822874118,0,-2.9253451551298024,15,0.4411764705882353,8,0.2352941176470588,2015,"Bryant, Kris",592178,2015,650,30.6,11.8,0.371,0.354,0.469,33.7,11.5,43.8,101.012069116,94.798555983,35.6,48.9
571771,"Hernández, Enrique",50,0.8928571428571429,36,69.981561,0.04,0.1666666666666666,0.12,0.0833333333333333,0.06,7.607377,2,-2.276600661123957,14,0.28,14,0.28,2015,"Hernández, Enrique",571771,2015,218,21.1,5.0,0.359,0.324,0.389,32.1,5.0,43.4,100.738383205,94.667719548,26.5,47.6
592206,"Castellanos, Nick",39,0.951219512195122,31,69.84115,0.1282051282051282,0.2903225806451613,0.2307692307692307,0.1290322580645161,0.1025641025641025,7.646895385,0,0.247858158321762,8,0.2051282051282051,14,0.358974358974359,2015,"Castellanos, Nick",592206,2015,595,25.5,6.6,0.311,0.322,0.41,37.5,7.7,34.5,97.738445628,92.919924962,29.7,49.7
514888,"Altuve, Jose",41,0.9111111111111112,33,69.45830439,0.073170731707317,0.2727272727272727,0.2195121951219512,0.0303030303030303,0.024390243902439,7.537260488,1,1.4121936606967131,8,0.1951219512195122,16,0.3902439024390244,2015,"Altuve, Jose",514888,2015,689,9.7,4.8,0.347,0.3,0.312,31.2,3.1,28.6,96.184716937,92.100077743,11.3,51.7
518692,"Freeman, Freddie",21,0.9545454545454546,15,68.980717619,0.0952380952380952,0.7333333333333333,0.5238095238095238,0.2666666666666666,0.1904761904761904,7.054843333,0,2.6718838016139634,6,0.2857142857142857,11,0.5238095238095238,2015,"Freeman, Freddie",518692,2015,481,20.4,11.6,0.364,0.418,0.496,43.4,11.3,44.7,100.237943038,94.60770581,24.6,49.2
570482,"Urshela, Gio",30,0.9090909090909092,21,68.912430333,0.0333333333333333,0.3809523809523809,0.2666666666666666,0.1428571428571428,0.1,7.044827,0,-2.54578821408868,9,0.3,12,0.4,2015,"Urshela, Gio",570482,2015,288,20.1,6.3,0.27,0.298,0.344,33.8,4.3,33.8,97.839528365,92.92144149,21.0,57.4
