id,name,swings_competitive,percent_swings_competitive,contact,avg_bat_speed,hard_swing_rate,squared_up_per_bat_contact,squared_up_per_swing,blast_per_bat_contact,blast_per_swing,swing_length,swords,batter_run_value,whiffs,whiff_per_swing,batted_ball_events,batted_ball_event_per_swing,"last_name, first_name",player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
672356,"Arias, Gabriel",32,0.8648648648648649,18,75.822215938,0.59375,0.3333333333333333,0.1875,0.2777777777777778,0.15625,7.781636563,1,0.3282488946447044,14,0.4375,9,0.28125,"Arias, Gabriel",672356,2025,17,11,0.333,0.289,0.044,0.6,0.514,0.0859999999999999,0.392,0.348,0.044
669394,"Burger, Jake",29,0.8529411764705882,23,75.794043103,0.6551724137931034,0.3043478260869565,0.2413793103448276,0.217391304347826,0.1724137931034483,7.585247241,0,-1.8377101530463589,6,0.2068965517241379,14,0.4827586206896552,"Burger, Jake",669394,2025,22,16,0.15,0.237,-0.087,0.35,0.467,-0.117,0.254,0.335,-0.081
696100,"Goodman, Hunter",39,0.9069767441860463,29,75.792740769,0.6153846153846153,0.2068965517241379,0.1538461538461538,0.1379310344827586,0.1025641025641025,7.175675385,1,0.8155061219217695,10,0.2564102564102564,11,0.282051282051282,"Goodman, Hunter",696100,2025,16,11,0.313,0.362,-0.0489999999999999,0.625,0.731,-0.1059999999999999,0.395,0.462,-0.067
673357,"Robert Jr., Luis",38,0.9047619047619048,25,75.766368947,0.6315789473684211,0.28,0.1842105263157894,0.2,0.131578947368421,7.941625,1,-2.195587835088473,13,0.3421052631578947,12,0.3157894736842105,"Robert Jr., Luis",673357,2025,19,13,0.176,0.224,-0.048,0.235,0.401,-0.166,0.196,0.275,-0.079
656305,"Chapman, Matt",27,0.9,18,75.583648519,0.6296296296296295,0.2222222222222222,0.1481481481481481,0.1111111111111111,0.074074074074074,7.207396296,1,-0.4629537826756655,9,0.3333333333333333,11,0.4074074074074074,"Chapman, Matt",656305,2025,21,11,0.222,0.131,0.091,0.389,0.23,0.159,0.323,0.23,0.093
665052,"Conine, Griffin",26,0.896551724137931,18,75.350288846,0.5384615384615384,0.3333333333333333,0.2307692307692307,0.2777777777777778,0.1923076923076923,7.486159231,0,1.2811345572471282,8,0.3076923076923077,11,0.4230769230769231,"Conine, Griffin",665052,2025,15,13,0.2,0.244,-0.0439999999999999,0.4,0.465,-0.065,0.254,0.299,-0.0449999999999999
686469,"Pasquantino, Vinnie",26,0.896551724137931,20,75.196899615,0.6153846153846154,0.35,0.2692307692307692,0.15,0.1153846153846153,7.542585769,0,-0.4394835499382853,6,0.2307692307692307,12,0.4615384615384615,"Pasquantino, Vinnie",686469,2025,17,12,0.214,0.196,0.0179999999999999,0.643,0.474,0.169,0.394,0.33,0.064
592626,"Pederson, Joc",24,0.8888888888888888,21,75.154183333,0.5416666666666666,0.3333333333333333,0.2916666666666667,0.1428571428571428,0.125,7.669848333,0,-2.2926536848008525,3,0.125,11,0.4583333333333333,"Pederson, Joc",592626,2025,19,13,0.133,0.211,-0.0779999999999999,0.2,0.306,-0.1059999999999999,0.236,0.303,-0.067
665489,"Guerrero Jr., Vladimir",36,0.9,24,75.112296389,0.6111111111111112,0.375,0.25,0.3333333333333333,0.2222222222222222,7.502333611,1,-2.474416644938678,12,0.3333333333333333,13,0.3611111111111111,"Guerrero Jr., Vladimir",665489,2025,27,17,0.217,0.252,-0.035,0.304,0.376,-0.072,0.268,0.327,-0.059
682985,"Greene, Riley",41,0.8913043478260869,27,75.098064878,0.4878048780487805,0.1851851851851851,0.1219512195121951,0.074074074074074,0.048780487804878,7.329889512,1,-1.0567522835776222,14,0.3414634146341463,10,0.2439024390243902,"Greene, Riley",682985,2025,23,13,0.261,0.261,0.0,0.609,0.495,0.1139999999999999,0.363,0.32,0.0429999999999999
663586,"Riley, Austin",41,0.8913043478260869,25,75.047004146,0.5365853658536586,0.24,0.1463414634146341,0.16,0.0975609756097561,7.621783415,0,-1.473649572157188,16,0.3902439024390244,11,0.2682926829268293,"Riley, Austin",663586,2025,24,12,0.091,0.163,-0.072,0.273,0.333,-0.06,0.195,0.249,-0.0539999999999999
606466,"Marte, Ketel",42,0.8936170212765957,30,74.930723571,0.4761904761904762,0.3666666666666666,0.2619047619047619,0.2333333333333333,0.1666666666666666,8.11989881,0,-1.5045847929623355,12,0.2857142857142857,16,0.3809523809523809,"Marte, Ketel",606466,2025,26,18,0.273,0.296,-0.0229999999999999,0.364,0.329,0.0349999999999999,0.339,0.339,0.0
621439,"Buxton, Byron",26,0.9285714285714286,14,74.928207692,0.423076923076923,0.4285714285714285,0.2307692307692307,0.2142857142857142,0.1153846153846153,8.051826154,0,-2.8145661981034538,12,0.4615384615384615,11,0.4230769230769231,"Buxton, Byron",621439,2025,18,12,0.118,0.14,-0.022,0.118,0.24,-0.122,0.137,0.192,-0.0549999999999999
