"last_name, first_name",player_id,year,pa,k_percent,bb_percent,woba,xwoba,xwobacon,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent,season
"Marsh, Brandon",669016,2023,472,30.5,12.5,0.358,0.322,0.411,37.7,9.1,48.7,100.732382538,94.960692423,27.4,42.4,2023
"Miller, Owen",680911,2023,314,19.4,5.4,0.292,0.288,0.332,34.2,3.4,30.8,97.106564615,92.584463305,18.4,48.3,2023
"Baddoo, Akil",668731,2023,357,24.9,11.8,0.299,0.301,0.351,26.5,6.2,36.8,99.048422545,93.595535682,25.3,47.0,2023
"Alu, Jake",666906,2023,175,24.0,5.7,0.256,0.283,0.338,35.8,2.5,33.3,97.481260847,92.79926094,26.5,50.0,2023
"Taylor, Chris",621035,2023,384,32.6,10.7,0.323,0.312,0.417,38.8,9.8,37.4,98.961485421,93.52875061,35.8,47.6,2023
"McCarthy, Jake",664983,2023,312,19.9,8.3,0.289,0.293,0.319,32.0,2.3,23.7,95.717509423,91.881453188,22.6,51.1,2023
"Acuña Jr., Ronald",660670,2023,735,11.4,10.9,0.428,0.46,0.493,33.6,15.3,55.2,106.368689571,98.157029125,18.7,46.2,2023
"Bader, Harrison",664056,2023,344,17.2,4.9,0.271,0.288,0.321,32.8,5.3,31.7,97.622516107,92.819025115,24.6,48.5,2023
"Peralta, David",444482,2023,422,17.1,4.7,0.29,0.309,0.352,31.1,4.9,44.2,100.838135399,94.678134417,22.5,54.5,2023
"Correa, Carlos",621043,2023,580,22.6,10.2,0.309,0.33,0.385,31.1,9.6,45.9,102.481230628,95.635527984,25.1,43.6,2023
"Young, Jared",676724,2023,47,27.7,6.4,0.302,0.277,0.34,26.7,10.0,36.7,99.890179333,93.947768,31.5,52.9,2023
"Mauricio, Ronny",677595,2023,108,28.7,6.5,0.284,0.287,0.374,37.1,5.7,38.6,101.420100857,94.781974,30.9,54.9,2023
"Hosmer, Eric",543333,2023,100,25.0,6.0,0.269,0.247,0.297,23.2,5.8,34.8,98.408715,93.221496176,23.6,52.1,2023
"Lipcius, Andre",686531,2023,38,21.1,7.9,0.326,0.298,0.342,29.6,0.0,29.6,95.892785,92.191342222,24.4,47.9,2023
"Chavis, Michael",656308,2023,96,34.4,5.2,0.273,0.255,0.363,41.4,1.7,31.0,97.534199655,92.767099828,34.0,53.3,2023
"Arozarena, Randy",668227,2023,654,23.9,12.2,0.347,0.351,0.403,31.8,12.3,48.4,102.055211709,95.651873174,29.1,43.0,2023
"Semien, Marcus",543760,2023,753,14.6,9.6,0.354,0.333,0.349,37.5,6.5,37.0,98.08417844,93.189258191,18.0,47.1,2023
"Stanton, Giancarlo",519317,2023,415,29.9,9.9,0.297,0.325,0.429,27.4,15.7,48.4,106.135021532,97.484200526,34.1,42.5,2023
"Pratto, Nick",668472,2023,345,40.0,8.4,0.292,0.278,0.416,40.7,8.1,41.9,99.593088023,93.891924767,35.3,43.1,2023
"Jeffers, Ryan",680777,2023,335,27.8,9.9,0.369,0.333,0.413,34.2,11.6,42.7,101.812058454,95.327122694,29.2,45.4,2023
"Stott, Bryson",681082,2023,640,15.6,6.1,0.323,0.309,0.336,36.4,4.7,35.2,97.379136163,92.802445092,15.3,45.0,2023
"Wade, Tyler",642180,2023,55,23.6,7.3,0.278,0.246,0.282,21.1,0.0,23.7,96.3496675,92.270185938,23.3,43.9,2023
"Santander, Anthony",623993,2023,656,23.2,8.4,0.34,0.319,0.378,33.0,10.2,46.0,101.732013378,95.319994041,23.5,49.0,2023
"Moniak, Mickey",666160,2023,323,35.0,2.8,0.339,0.308,0.466,38.9,12.6,39.2,100.288235,94.38207288,38.8,61.7,2023
"Gorman, Nolan",669357,2023,464,31.9,11.4,0.345,0.354,0.484,38.8,16.5,48.5,102.010586077,95.537335212,35.6,49.0,2023
"Rosario, Eddie",592696,2023,516,23.6,6.6,0.322,0.317,0.389,35.9,9.5,35.4,98.60055257,93.424315434,29.8,57.4,2023
"Lawlar, Jordan",691783,2023,34,32.4,5.9,0.166,0.189,0.216,15.0,0.0,5.0,84.847072,88.627346842,32.3,46.3,2023
"Marte, Starling",516782,2023,341,20.2,4.7,0.278,0.312,0.363,30.6,5.6,39.5,100.135976281,94.129016405,27.8,53.8,2023
"Hampson, Garrett",641658,2023,252,26.6,9.1,0.323,0.291,0.349,37.1,3.1,28.3,96.842874595,92.486054257,26.3,43.3,2023
"Barnhart, Tucker",571466,2023,123,34.1,9.8,0.25,0.234,0.29,30.9,1.5,23.5,94.835397941,91.474245672,25.3,47.1,2023
"Newman, Kevin",621028,2023,253,13.4,6.7,0.296,0.311,0.323,35.4,2.5,29.3,96.650571327,92.359183077,14.8,46.6,2023
"Slater, Austin",596103,2023,207,28.0,9.7,0.33,0.338,0.429,34.6,11.8,46.5,101.910679365,95.591557937,29.8,42.3,2023
"Duvall, Adam",594807,2023,353,31.2,6.2,0.347,0.304,0.41,33.0,13.0,39.1,100.072491121,94.161800748,31.0,48.3,2023
"Yoshida, Masataka",807799,2023,580,14.0,5.9,0.339,0.325,0.35,29.5,6.6,40.6,100.123813246,94.28056556,18.3,43.3,2023
"Freeman, Freddie",518692,2023,730,16.6,9.9,0.411,0.408,0.461,46.6,11.1,42.2,100.590638269,94.617661541,20.4,51.0,2023
"Frazier, Clint",640449,2023,76,30.3,13.2,0.256,0.255,0.288,37.2,0.0,25.6,95.683515,92.233654884,28.2,44.4,2023
"Arenado, Nolan",571448,2023,612,16.5,6.7,0.327,0.32,0.358,33.0,7.3,38.1,99.311427863,93.760489679,20.2,48.5,2023
"Rocchio, Brayan",677587,2023,86,31.4,4.7,0.263,0.204,0.268,30.9,0.0,18.2,94.852003214,91.529307455,32.6,54.7,2023
"Haniger, Mitch",571745,2023,229,28.4,6.6,0.274,0.313,0.407,36.7,10.9,46.9,100.797604054,94.934929728,27.8,45.8,2023
"Brantley Jr., Michael",488726,2023,57,3.5,3.5,0.309,0.286,0.282,35.8,0.0,37.7,98.240166296,93.463209245,8.0,40.0,2023
"Cabbage, Trey",663550,2023,56,46.4,3.6,0.238,0.179,0.308,28.6,7.1,32.1,98.960563571,93.579308214,51.4,65.1,2023
"Florial, Estevan",664314,2023,71,28.2,9.9,0.288,0.306,0.366,38.1,2.4,33.3,97.559811429,92.823458333,36.5,46.6,2023
"Franco, Wander",677551,2023,491,14.1,8.6,0.349,0.364,0.393,35.0,7.7,43.0,99.940366243,94.232389735,14.8,45.2,2023
"Locastro, Tim",641796,2023,67,32.8,4.5,0.327,0.315,0.413,30.6,8.3,22.2,95.152971765,91.909539091,32.3,52.1,2023
"Moore, Dylan",664238,2023,165,33.9,9.7,0.317,0.317,0.43,40.4,16.9,44.9,100.440584889,94.544615618,33.4,46.0,2023
"Lukes, Nathan",664770,2023,31,29.0,12.9,0.266,0.276,0.321,38.9,0.0,38.9,97.669105556,92.926628889,19.4,55.4,2023
"Díaz, Isan",656371,2023,26,34.6,7.7,0.087,0.122,0.119,13.3,0.0,33.3,97.48526875,93.308806667,36.1,42.4,2023
"Polanco, Jorge",593871,2023,343,25.7,10.5,0.34,0.348,0.427,39.6,13.8,40.6,100.221097963,94.291735787,24.9,46.4,2023
"Villar, David",681584,2023,140,32.1,7.9,0.244,0.306,0.404,38.8,13.8,32.5,98.11393275,93.142108354,38.5,43.0,2023
"Grandal, Yasmani",518735,2023,405,21.2,8.9,0.288,0.282,0.311,32.3,4.7,34.4,98.280329643,93.23662509,24.9,44.7,2023
"García, Adolis",666969,2023,632,27.7,10.3,0.354,0.366,0.471,36.0,16.1,49.7,102.949539534,96.163808523,31.6,48.6,2023
"McKinney, Billy",641856,2023,147,26.5,11.6,0.315,0.346,0.43,43.3,12.2,41.1,99.630086889,94.008399667,28.6,44.7,2023
"Kemp, Tony",643393,2023,419,9.5,10.5,0.276,0.297,0.271,31.3,1.2,20.4,94.699737436,91.482675737,14.5,46.0,2023
"Winn, Masyn",691026,2023,137,19.0,7.3,0.211,0.25,0.271,26.7,2.0,36.6,97.541426531,92.925402245,21.6,43.4,2023
"Wisely, Brett",689172,2023,131,30.5,6.9,0.222,0.238,0.305,31.7,7.3,32.9,97.293427179,92.707060519,31.6,51.8,2023
"Chapman, Matt",656305,2023,581,28.4,10.7,0.328,0.337,0.426,32.4,17.1,56.4,103.539639884,96.813201603,31.1,43.3,2023
"Meneses, Joey",608841,2023,657,19.8,5.8,0.314,0.288,0.329,32.9,5.4,41.7,99.929364091,94.237468244,23.6,47.6,2023
"Noda, Ryan",676116,2023,495,34.3,15.6,0.342,0.334,0.44,38.2,13.0,45.0,102.125166441,95.450814851,36.9,42.9,2023
"Garlick, Kyle",664247,2023,30,36.7,6.7,0.28,0.333,0.506,29.4,29.4,58.8,101.56641,95.962162941,38.3,39.2,2023
"Tauchman, Mike",643565,2023,401,21.4,14.0,0.33,0.345,0.38,37.6,5.5,40.0,99.326329764,93.849149016,24.5,41.8,2023
"India, Jonathan",663697,2023,529,20.6,9.8,0.327,0.339,0.374,37.2,7.7,38.6,99.676934286,94.0396352,22.0,38.6,2023
"Hays, Austin",669720,2023,566,24.9,6.7,0.33,0.309,0.381,31.0,8.9,40.1,100.462787656,94.411352037,28.4,46.6,2023
"Hill, Derek",656537,2023,50,22.0,6.0,0.19,0.219,0.247,27.8,0.0,22.2,94.906839412,91.702141818,25.3,47.9,2023
"Bellinger, Cody",641355,2023,556,15.6,7.2,0.37,0.327,0.357,38.0,6.1,31.4,97.661544057,92.874372388,20.1,49.9,2023
"Soderstrom, Tyler",691016,2023,138,31.2,8.0,0.216,0.276,0.359,26.5,6.0,39.8,101.153127381,94.848388313,32.9,49.7,2023
"Joe, Connor",656582,2023,472,23.3,10.6,0.332,0.329,0.377,37.2,8.2,41.8,100.015548477,94.249815814,23.6,39.5,2023
"Gallagher, Cam",595956,2023,149,30.9,2.7,0.145,0.173,0.227,24.5,2.0,20.4,94.077365208,91.145200104,22.3,51.5,2023
"Haggerty, Sam",664059,2023,108,15.7,13.9,0.321,0.324,0.318,32.0,1.3,26.7,96.15900973,92.082525811,21.6,48.2,2023
"Rooker Jr., Brent",667670,2023,526,32.7,9.3,0.348,0.343,0.472,37.3,15.6,49.5,102.653891351,95.962225864,38.2,46.1,2023
"Lee, Korey",686676,2023,70,28.6,7.1,0.134,0.238,0.292,26.7,4.4,35.6,96.082436087,92.296326,31.4,54.8,2023
"Hopkins, TJ",686759,2023,44,38.6,4.5,0.189,0.214,0.303,12.5,0.0,50.0,100.301459167,94.505625417,34.6,44.8,2023
"Moreno, Gabriel",672515,2023,380,19.7,7.6,0.325,0.314,0.356,32.6,4.8,41.8,99.719820735,94.156039559,19.7,42.4,2023
"McCutchen, Andrew",457705,2023,473,21.1,15.9,0.345,0.353,0.382,33.7,6.8,44.6,100.329192449,94.60717314,27.4,41.6,2023
"Stubbs, Garrett",596117,2023,125,23.2,7.2,0.252,0.207,0.213,18.8,0.0,17.6,93.635939189,90.852312703,22.8,46.8,2023
"Mendick, Danny",664901,2023,69,21.7,5.8,0.226,0.245,0.282,32.0,4.0,40.0,97.8167176,93.148951,24.2,44.9,2023
"Benintendi, Andrew",643217,2023,621,14.3,8.4,0.299,0.31,0.327,40.9,2.9,27.0,95.498075212,91.757391695,19.3,49.0,2023
