"last_name, first_name",player_id,year,pa,k_percent,bb_percent,woba,xwoba,xwobacon,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent,season
"Goldschmidt, Paul",502671,2019,682,24.3,11.4,0.346,0.359,0.438,36.4,11.3,42.4,101.099060419,94.813832214,26.3,46.5,2019
"Senzel, Nick",669222,2019,414,24.4,7.2,0.315,0.305,0.371,31.6,8.0,38.2,98.782850588,93.504538856,23.7,49.3,2019
"Bishop, Braden",623323,2019,60,35.0,5.0,0.124,0.176,0.237,19.4,0.0,13.9,93.832196111,91.016870286,30.4,46.4,2019
"Alonso, Yonder",475174,2019,335,20.9,11.6,0.277,0.305,0.334,32.6,5.4,39.3,99.496347857,93.805879821,24.9,47.2,2019
"Pence, Hunter",452254,2019,316,21.8,8.2,0.377,0.364,0.438,36.1,9.1,42.6,102.338578519,95.514528519,31.5,51.3,2019
"Murphy, Sean",669221,2019,60,26.7,10.0,0.37,0.344,0.426,40.5,8.1,37.8,100.849058421,94.643355676,29.8,47.1,2019
"Zobrist, Ben",450314,2019,176,13.6,13.1,0.303,0.303,0.287,25.0,0.8,23.4,95.067698906,91.56974189,15.7,34.9,2019
"Brito, Sócrates",593647,2019,43,39.5,9.3,0.14,0.235,0.333,22.7,4.5,40.9,99.603857273,94.070057727,40.5,50.9,2019
"Stewart, DJ",621466,2019,142,18.3,9.9,0.299,0.306,0.331,26.7,6.9,34.7,99.2830548,93.720559899,26.2,47.7,2019
"Cordell, Ryan",641477,2019,247,27.9,7.7,0.279,0.273,0.338,25.6,6.4,32.1,98.663495342,93.444229041,31.4,49.0,2019
"Bader, Harrison",664056,2019,406,28.8,11.3,0.293,0.312,0.386,31.3,9.9,35.3,99.203015625,93.65660426,26.6,41.4,2019
"Vogelbach, Daniel",596129,2019,558,26.7,16.5,0.333,0.345,0.407,39.0,10.5,38.0,100.052249618,94.193186358,26.9,34.0,2019
"Pujols, Albert",405395,2019,545,12.5,7.9,0.308,0.319,0.331,26.5,5.8,36.6,98.702028255,93.397586981,18.2,44.5,2019
"Anderson, Brian",605119,2019,520,21.9,8.5,0.342,0.34,0.392,31.3,8.9,46.0,100.764886494,94.722101667,27.4,47.5,2019
"Hernández, Teoscar",606192,2019,464,33.0,9.7,0.325,0.312,0.428,30.6,11.7,42.3,101.608146591,95.066922348,34.8,47.3,2019
"Nola, Aaron",605400,2019,70,50.0,8.6,0.168,0.162,0.266,27.6,0.0,20.7,94.363985833,91.320340435,16.4,23.4,2019
"Mahle, Tyler",641816,2019,41,46.3,2.4,0.104,0.094,0.179,4.8,0.0,19.0,96.677195714,92.338597857,35.7,49.6,2019
"Lopez, Nicky",670032,2019,402,12.7,4.5,0.26,0.242,0.254,22.3,1.2,19.7,93.65443825,90.915877147,15.1,49.6,2019
"Narváez, Omar",553882,2019,482,19.1,9.8,0.345,0.33,0.367,40.4,5.3,28.1,95.546726667,91.774567182,22.9,47.8,2019
"Haseley, Adam",656514,2019,242,24.8,5.8,0.309,0.269,0.321,29.4,3.7,28.8,96.518718519,92.26176,28.7,49.9,2019
"Lopes, Tim",621005,2019,128,22.7,11.7,0.318,0.283,0.304,39.8,3.6,24.1,95.040932857,91.572811205,28.0,46.4,2019
"Brown, Seth",664913,2019,83,27.7,8.4,0.347,0.302,0.375,34.6,11.5,38.5,99.994413077,94.164759038,31.8,44.4,2019
"Kelly, Carson",608348,2019,365,21.6,13.2,0.339,0.34,0.394,39.8,8.5,40.4,99.326221441,93.845580894,23.3,41.9,2019
"Trevino, Jose",624431,2019,126,21.4,2.4,0.274,0.258,0.318,29.2,2.1,35.4,98.008592708,93.056973158,22.7,48.6,2019
"Hedges, Austin",595978,2019,347,31.4,7.8,0.242,0.265,0.346,32.0,8.3,32.5,97.733819802,92.919899257,33.3,51.3,2019
"Peralta, David",444482,2019,423,20.6,8.3,0.338,0.304,0.344,29.1,5.4,40.9,100.762306892,94.542203682,24.4,50.4,2019
"Calhoun, Kole",594777,2019,632,25.6,11.1,0.33,0.339,0.417,35.2,11.2,42.6,99.943105052,94.209946136,32.1,48.2,2019
"Díaz, Yandy",650490,2019,347,17.6,10.1,0.341,0.355,0.395,34.0,10.4,44.8,102.453884,95.60036348,22.3,44.9,2019
"Segura, Jean",516416,2019,618,11.8,4.9,0.315,0.31,0.327,31.0,3.2,32.7,98.140826245,93.158728356,14.6,47.5,2019
"León, Sandy",506702,2019,191,24.6,6.8,0.239,0.222,0.252,32.3,1.5,25.4,95.365804603,91.71542384,20.4,45.3,2019
"Alonso, Pete",624413,2019,693,26.4,10.4,0.384,0.38,0.482,36.9,15.8,42.7,103.52161466,95.867841481,28.0,46.6,2019
"Goodwin, Brian",571718,2019,458,28.2,8.3,0.332,0.303,0.388,38.5,6.3,33.3,97.895933357,92.953846607,27.7,42.2,2019
"Leyba, Domingo",642736,2019,30,30.0,13.3,0.34,0.286,0.343,47.1,0.0,23.5,93.045897778,91.225428235,29.7,51.6,2019
"Tovar, Wilfredo",541600,2019,88,17.0,5.7,0.217,0.26,0.285,36.8,0.0,29.4,96.696282059,92.363879559,13.3,51.8,2019
"Heyward, Jason",518792,2019,589,18.7,11.5,0.328,0.323,0.349,31.8,5.7,36.5,99.605955423,93.856621272,22.7,45.5,2019
"Rodríguez, Ronny",500135,2019,294,27.9,4.4,0.283,0.289,0.385,29.6,7.5,40.4,99.725441875,93.96272089,35.9,55.7,2019
"Flaherty, Jack",656427,2019,66,25.8,3.0,0.195,0.206,0.281,31.9,0.0,19.1,95.915117059,92.102429697,27.5,44.3,2019
"Bogaerts, Xander",593428,2019,698,17.5,10.9,0.39,0.356,0.393,35.1,8.6,44.5,101.168690363,94.874752258,20.9,41.1,2019
"López, Pablo",641154,2019,36,52.8,0.0,0.169,0.173,0.407,35.3,5.9,23.5,98.738554286,93.754477857,51.8,61.5,2019
