"last_name, first_name",player_id,year,pa,k_percent,bb_percent,woba,xwoba,xwobacon,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent,season
"Gurriel Jr., Yuli",493329,2018,573,11.0,4.0,0.323,0.29,0.304,32.6,1.9,36.6,98.250145353,93.267952557,15.7,50.3,2018
"Cordero, Franchy",614173,2018,154,35.7,9.1,0.322,0.356,0.543,36.5,12.9,51.9,106.9769435,98.059174875,35.5,47.9,2018
"Wong, Kolten",543939,2018,407,14.7,7.6,0.314,0.295,0.298,26.5,3.3,30.9,97.247852766,92.626361383,18.1,42.3,2018
"Brinson, Lewis",621446,2018,405,29.6,4.2,0.248,0.29,0.394,27.3,8.7,39.2,100.521459542,94.449277854,34.3,53.3,2018
"Cozart, Zack",446359,2018,253,16.6,7.5,0.289,0.295,0.305,38.9,2.2,27.7,95.713114457,91.878014372,18.0,43.4,2018
"Grandal, Yasmani",518735,2018,518,23.9,13.9,0.352,0.337,0.387,32.9,11.6,40.4,99.742040255,93.988959204,28.0,38.5,2018
"Lorenzen, Michael",547179,2018,34,26.5,5.9,0.432,0.299,0.39,21.7,17.4,52.2,102.653110909,96.4676,31.0,55.0,2018
"Urshela, Gio",570482,2018,46,21.7,4.3,0.27,0.244,0.277,18.2,6.1,30.3,96.074855294,92.183694242,27.3,50.3,2018
"Bour, Justin",571506,2018,501,24.8,14.6,0.324,0.324,0.374,33.4,10.3,39.1,100.900708609,94.511429468,27.1,41.4,2018
"Beckham, Gordon",493596,2018,50,22.0,8.0,0.212,0.252,0.283,22.9,5.7,20.0,95.272248235,91.746309697,30.6,52.1,2018
"Szczur, Matt",519333,2018,84,28.6,9.5,0.242,0.225,0.261,30.8,1.9,24.5,95.771798333,92.003947872,31.3,47.8,2018
"Zimmer, Bradley",605548,2018,114,38.6,6.1,0.27,0.293,0.47,32.3,8.1,42.9,103.165728846,95.636378654,34.2,49.3,2018
"Bregman, Alex",608324,2018,705,12.1,13.6,0.396,0.369,0.363,37.9,7.6,39.9,98.834674016,93.548064961,12.9,37.1,2018
"Andreoli, John",607430,2018,67,28.4,7.5,0.246,0.219,0.262,34.9,2.3,16.3,92.889153182,90.575695581,25.2,43.8,2018
"Cozens, Dylan",622226,2018,44,54.5,13.6,0.257,0.249,0.488,35.7,7.1,57.1,105.668372857,97.83892,51.7,45.2,2018
"Pérez, Michael",605421,2018,80,23.8,3.8,0.298,0.254,0.316,36.2,1.7,29.3,96.826631379,92.535425614,26.0,50.2,2018
"Hampson, Garrett",641658,2018,48,25.0,14.6,0.355,0.323,0.358,39.3,3.6,32.1,96.15744,92.3449392,24.1,43.2,2018
"Happ, Ian",664023,2018,462,36.1,15.2,0.329,0.322,0.459,39.2,12.2,40.5,100.706722342,94.436559685,37.8,43.3,2018
"Álvarez, Pedro",476883,2018,127,28.3,12.6,0.304,0.331,0.414,26.7,14.7,44.0,102.586954595,95.38689027,38.3,41.3,2018
"DeSclafani, Anthony",543101,2018,46,54.3,0.0,0.153,0.141,0.362,33.3,9.5,9.5,90.92340125,90.0991125,46.1,49.7,2018
"Suzuki, Ichiro",400085,2018,47,14.9,6.4,0.212,0.222,0.227,29.7,0.0,2.7,89.266786111,89.031056667,17.1,47.5,2018
"Cordell, Ryan",641477,2018,40,37.5,0.0,0.144,0.232,0.357,29.2,4.2,25.0,97.310899167,92.6732975,34.6,52.0,2018
"Solarte, Yangervis",500208,2018,506,14.2,6.1,0.284,0.301,0.323,30.0,4.5,32.0,97.4511858,92.742862155,17.5,54.3,2018
"Tomlinson, Kelby",605509,2018,152,23.0,5.9,0.239,0.247,0.283,26.4,0.9,16.0,92.435288571,90.53046898,25.1,50.7,2018
"Escobar, Eduardo",500871,2018,631,20.0,8.2,0.346,0.323,0.374,38.6,8.3,27.6,96.604661719,92.302469842,23.9,53.0,2018
"Smith, Dominic",642086,2018,149,31.5,2.7,0.288,0.25,0.345,40.6,6.3,31.3,97.464539583,92.839846563,28.1,52.6,2018
"Haniger, Mitch",571745,2018,683,21.7,10.2,0.367,0.366,0.431,36.5,10.3,43.2,100.909986608,94.71924207,23.3,41.8,2018
"Refsnyder, Rob",608701,2018,102,25.5,17.6,0.276,0.324,0.356,32.8,6.9,33.3,99.308655172,93.677407069,24.1,36.8,2018
"Maybin, Cameron",457727,2018,384,19.5,9.9,0.295,0.315,0.349,34.6,4.1,33.1,97.198707239,92.618326929,20.7,41.5,2018
"Tucker, Preston",605512,2018,184,23.4,7.1,0.306,0.287,0.33,28.2,4.0,39.5,100.693827742,94.576053659,25.6,49.6,2018
"Eflin, Zach",621107,2018,50,62.0,0.0,0.106,0.082,0.294,10.5,5.3,21.1,101.629836667,95.276448333,51.5,56.4,2018
"Garcia, Leury",544725,2018,275,25.1,3.3,0.295,0.282,0.36,34.0,2.6,31.6,97.549968696,92.827785924,28.7,57.6,2018
"Anderson, Tim",641313,2018,606,24.6,5.0,0.294,0.272,0.336,33.3,4.7,27.9,96.290161381,92.154393786,27.7,54.1,2018
"Piscotty, Stephen",572039,2018,605,18.8,6.9,0.351,0.356,0.407,34.3,9.6,38.7,99.557644654,93.875006475,25.5,53.3,2018
"Sánchez, Aníbal",434671,2018,44,56.8,2.3,0.037,0.085,0.202,16.7,0.0,5.6,85.852636667,88.8009375,49.4,52.9,2018
"Herrera, Rosell",594011,2018,302,18.9,6.3,0.266,0.283,0.317,32.6,2.2,32.6,97.066538393,92.555696054,22.3,45.8,2018
"Galloway, Isaac",543194,2018,74,28.4,12.2,0.304,0.29,0.35,36.4,6.8,22.7,95.648215238,91.825355238,30.1,47.3,2018
"Rasmus, Colby",458675,2018,49,38.8,6.1,0.196,0.233,0.332,23.1,7.7,30.8,96.10615,92.053075,37.5,48.5,2018
"Guzmán, Ronald",608597,2018,428,28.3,7.7,0.312,0.289,0.362,33.3,6.4,33.1,98.408830902,93.216383308,30.0,50.7,2018
"Tilson, Charlie",605508,2018,120,16.7,8.3,0.282,0.266,0.273,24.7,0.0,16.9,90.968746744,90.236583294,14.0,50.6,2018
"Wood, Alex",622072,2018,50,50.0,0.0,0.04,0.049,0.124,4.0,0.0,4.0,88.179324286,89.172495714,24.6,37.1,2018
"Villanueva, Christian",570799,2018,384,27.1,6.0,0.323,0.3,0.377,33.5,9.7,31.3,97.376164,92.696072292,29.5,54.2,2018
"Valentín, Jesmuel",621044,2018,89,27.0,9.0,0.25,0.246,0.279,42.9,1.8,16.1,92.470582143,90.328867321,27.6,40.4,2018
"Ureña, José",570632,2018,52,67.3,1.9,0.057,0.05,0.188,6.3,0.0,12.5,94.7534025,92.874271429,49.5,58.7,2018
"Lobatón, Jose",446653,2018,57,26.3,12.3,0.218,0.284,0.326,40.0,2.9,37.1,97.552671111,92.963781429,33.9,45.5,2018
"Beltré, Adrian",134181,2018,481,20.0,7.1,0.327,0.328,0.379,39.7,6.4,37.4,98.435139477,93.348635465,23.4,45.4,2018
"Piña, Manny",444489,2018,337,18.4,6.2,0.301,0.302,0.341,37.3,5.2,26.6,96.274089516,92.187892874,18.2,45.9,2018
"Vázquez, Christian",543877,2018,269,15.2,4.8,0.24,0.277,0.299,32.7,1.9,29.0,96.160315143,92.111534019,14.3,48.9,2018
"Rosario, Amed",642708,2018,592,20.1,4.9,0.29,0.289,0.342,32.4,3.9,32.3,97.6158547,92.837680624,26.0,54.3,2018
"Jankowski, Travis",608671,2018,387,18.9,9.6,0.303,0.276,0.293,27.2,0.7,19.3,94.429365433,91.216343937,17.3,40.9,2018
"Villar, Jonathan",542340,2018,515,26.8,8.0,0.312,0.288,0.352,27.2,5.1,36.0,98.982895563,93.56982325,29.5,48.9,2018
"Rizzo, Anthony",519203,2018,665,12.0,10.5,0.359,0.367,0.377,36.2,6.5,40.6,100.439451098,94.335677882,17.0,47.7,2018
"Castro, Starlin",516770,2018,647,19.2,7.4,0.315,0.311,0.357,32.0,6.9,36.2,99.029341092,93.607510063,22.8,46.0,2018
"Seager, Corey",608369,2018,115,14.8,9.6,0.324,0.379,0.411,37.6,8.2,40.5,101.118615952,94.721540357,20.6,48.4,2018
"Torres, Gleyber",650402,2018,484,25.2,8.7,0.349,0.338,0.42,38.7,9.2,36.8,98.781966752,93.47915207,31.4,48.4,2018
"Polanco, Gregory",570256,2018,534,21.9,11.4,0.353,0.339,0.392,33.6,9.4,37.8,99.828552069,93.989606945,24.0,45.3,2018
"Chatwood, Tyler",543022,2018,32,18.8,3.1,0.162,0.237,0.289,24.0,0.0,8.0,91.978043,90.270101579,7.7,46.8,2018
"Romano, Sal",607219,2018,40,60.0,0.0,0.059,0.091,0.273,18.8,0.0,12.5,89.47033,90.206227273,45.6,48.8,2018
"Peraza, José",606299,2018,683,11.0,4.2,0.319,0.304,0.322,38.2,2.5,23.6,95.18880011,91.637686636,13.8,49.9,2018
"Maldonado, Martín",455117,2018,404,24.3,4.0,0.275,0.257,0.305,31.5,5.0,26.5,95.808355693,91.915939124,27.0,51.1,2018
"Wieters, Matt",446308,2018,271,16.6,11.1,0.308,0.31,0.323,32.6,4.7,33.3,97.31958125,92.698087225,17.2,45.3,2018
