"last_name, first_name",player_id,year,pa,k_percent,bb_percent,woba,xwoba,xwobacon,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent,season
"Upton, Justin",457708,2020,166,25.9,6.6,0.307,0.329,0.398,25.7,8.6,43.8,101.522735094,95.215063714,29.9,43.7,2020
"Dahl, David",621311,2020,99,28.3,4.0,0.208,0.234,0.299,30.3,3.0,22.7,94.518944545,91.309618,31.0,55.1,2020
"Stallings, Jacob",607732,2020,143,28.0,10.5,0.309,0.277,0.334,33.0,4.5,37.5,99.072105581,93.692784,26.3,38.8,2020
"Polanco, Jorge",593871,2020,226,15.5,5.8,0.289,0.304,0.333,39.0,2.8,33.3,96.651106591,92.358275714,16.8,43.7,2020
"Margot, Manuel",622534,2020,159,15.7,8.2,0.301,0.309,0.332,32.2,4.1,33.9,98.87174386,93.556567982,23.5,47.5,2020
"Odor, Rougned",596059,2020,148,31.8,4.7,0.259,0.282,0.391,28.0,11.8,32.3,98.444349556,93.290596742,25.7,50.5,2020
"Hayes, Ke'Bryan",663647,2020,95,21.1,9.5,0.464,0.362,0.432,35.4,9.2,55.4,104.062299688,97.043049844,18.1,44.1,2020
"Brosseau, Mike",670712,2020,98,31.6,8.2,0.394,0.318,0.419,37.5,8.9,42.9,99.372733214,94.397817818,36.1,44.8,2020
"Goodrum, Niko",592348,2020,179,38.5,10.1,0.262,0.265,0.379,34.8,9.8,40.2,98.879519348,93.764511522,38.6,44.5,2020
"Wolters, Tony",547172,2020,109,27.5,5.5,0.249,0.294,0.379,40.3,0.0,20.8,94.049699118,91.069196912,27.4,43.4,2020
"Davis, Jonathan",641505,2020,34,32.4,8.8,0.35,0.35,0.471,41.2,11.8,64.7,102.086303333,97.00739,30.0,46.1,2020
"Reynolds, Bryan",668804,2020,208,27.4,10.1,0.278,0.314,0.387,35.2,10.2,38.3,99.182354844,93.601750078,27.7,46.8,2020
"Santana, Carlos",467793,2020,255,16.9,18.4,0.316,0.372,0.375,32.3,6.7,36.6,99.260366296,93.650599074,20.6,36.3,2020
"Nola, Austin",543592,2020,184,18.5,9.8,0.352,0.361,0.403,40.3,7.8,43.4,99.895058462,94.446211628,20.1,40.4,2020
"Verdugo, Alex",657077,2020,221,20.4,7.7,0.362,0.299,0.338,31.2,6.4,34.4,98.021422025,93.054003567,18.7,42.8,2020
"Thomas, Lane",657041,2020,40,32.5,10.0,0.203,0.213,0.25,30.4,4.3,39.1,98.711734167,94.056259565,28.1,37.4,2020
"García, Avisaíl",541645,2020,207,23.7,9.7,0.296,0.317,0.365,37.1,3.8,37.1,99.290871364,93.692910455,34.7,54.6,2020
