id,name,swings_competitive,percent_swings_competitive,contact,avg_bat_speed,hard_swing_rate,squared_up_per_bat_contact,squared_up_per_swing,blast_per_bat_contact,blast_per_swing,swing_length,swords,batter_run_value,whiffs,whiff_per_swing,batted_ball_events,batted_ball_event_per_swing,season,"last_name, first_name",player_id,year,pa,k_percent,bb_percent,woba,xwoba,xwobacon,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
665833,"Cruz, Oneil",39,0.8863636363636364,29,79.584492051,0.8205128205128204,0.3448275862068966,0.2564102564102564,0.2758620689655172,0.2051282051282051,7.658194615,2,0.5125391631978922,10,0.2564102564102564,17,0.4358974358974359,2025,"Cruz, Oneil",665833,2025,30,23.3,20.0,0.384,0.455,0.574,64.7,17.6,52.9,103.566246667,96.438265882,27.3,37.9
670541,"Alvarez, Yordan",50,0.925925925925926,38,76.9326292,0.7799999999999999,0.1578947368421052,0.12,0.0789473684210526,0.06,7.9093148,0,-3.0114540109885506,12,0.24,14,0.28,2025,"Alvarez, Yordan",670541,2025,25,28.0,16.0,0.232,0.287,0.316,28.6,7.1,28.6,97.730127143,93.003083571,25.9,47.0
660271,"Ohtani, Shohei",50,0.8928571428571429,39,76.6581688,0.66,0.4358974358974359,0.34,0.358974358974359,0.28,8.1661332,3,3.658071970071004,11,0.22,21,0.42,2025,"Ohtani, Shohei",660271,2025,37,16.2,18.9,0.464,0.441,0.505,29.2,8.3,66.7,106.980040909,100.186395455,25.4,41.8
695578,"Wood, James",43,0.8958333333333334,32,76.414781163,0.6511627906976745,0.25,0.1860465116279069,0.21875,0.1627906976744186,7.432511628,1,-0.4613604992540571,11,0.2558139534883721,10,0.2325581395348837,2025,"Wood, James",695578,2025,25,44.0,8.0,0.295,0.275,0.458,8.3,16.7,66.7,107.594411667,99.281283333,27.1,41.0
575929,"Contreras, Willson",49,0.9074074074074074,30,76.239445306,0.6326530612244898,0.2,0.1224489795918367,0.0666666666666666,0.0408163265306122,7.933593878,1,-5.255273072670836,19,0.3877551020408163,13,0.2653061224489796,2025,"Contreras, Willson",575929,2025,25,40.0,4.0,0.081,0.189,0.297,57.1,0.0,28.6,96.002478571,92.616400769,40.0,50.0
624413,"Alonso, Pete",48,0.979591836734694,39,76.168539792,0.6041666666666666,0.358974358974359,0.2916666666666667,0.2564102564102564,0.2083333333333333,7.154422708,0,-1.3066305063847337,9,0.1875,18,0.375,2025,"Alonso, Pete",624413,2025,26,7.7,19.2,0.457,0.544,0.563,36.8,31.6,63.2,107.692922,99.769665789,18.5,40.6
682829,"De La Cruz, Elly",36,0.9230769230769232,24,75.943245556,0.6666666666666666,0.5416666666666666,0.3611111111111111,0.4166666666666667,0.2777777777777778,7.160374167,1,1.6731551582240285,12,0.3333333333333333,18,0.5,2025,"De La Cruz, Elly",682829,2025,25,24.0,4.0,0.436,0.515,0.677,50.0,27.8,61.1,105.148294444,98.190277222,35.9,36.8
663586,"Riley, Austin",50,0.8928571428571429,34,75.4447416,0.5800000000000001,0.2058823529411764,0.14,0.1470588235294117,0.1,7.667643,0,-2.250724010402693,16,0.32,15,0.3,2025,"Riley, Austin",663586,2025,29,37.9,6.9,0.193,0.248,0.362,62.5,25.0,43.8,103.88883875,96.05367375,33.3,47.9
682998,"Carroll, Corbin",35,0.8333333333333334,22,75.421798857,0.5428571428571428,0.4090909090909091,0.2571428571428571,0.2727272727272727,0.1714285714285714,7.335164286,3,0.3294659435185447,13,0.3714285714285714,11,0.3142857142857143,2025,"Carroll, Corbin",682998,2025,27,25.9,11.1,0.366,0.48,0.63,60.0,26.7,60.0,105.75302,98.698468,37.2,51.2
656305,"Chapman, Matt",35,0.8974358974358975,25,75.353684286,0.5428571428571428,0.2,0.1428571428571428,0.12,0.0857142857142857,7.246126,2,-0.6311279199603136,10,0.2857142857142857,13,0.3714285714285714,2025,"Chapman, Matt",656305,2025,25,32.0,16.0,0.335,0.237,0.243,15.4,7.7,30.8,98.303885714,93.548246154,35.9,39.0
669394,"Burger, Jake",40,0.8888888888888888,31,75.14356975,0.5750000000000001,0.2580645161290322,0.2,0.1935483870967742,0.15,7.477924,1,-2.902634467410756,9,0.225,16,0.4,2025,"Burger, Jake",669394,2025,26,23.1,3.8,0.216,0.288,0.337,22.2,11.1,44.4,103.011991111,95.669672778,28.3,60.5
606466,"Marte, Ketel",48,0.9056603773584906,34,75.099739375,0.5208333333333334,0.3823529411764705,0.2708333333333333,0.2647058823529412,0.1875,8.076365,0,-1.1998346351693734,14,0.2916666666666667,18,0.375,2025,"Marte, Ketel",606466,2025,30,13.3,20.0,0.37,0.374,0.355,20.0,0.0,55.0,104.987543,97.5501475,27.8,46.6
682985,"Greene, Riley",45,0.8823529411764706,31,74.871172667,0.4666666666666667,0.2258064516129032,0.1555555555555555,0.064516129032258,0.0444444444444444,7.298883556,1,-0.2054371838709859,14,0.3111111111111111,13,0.2888888888888888,2025,"Greene, Riley",682985,2025,27,37.0,0.0,0.392,0.318,0.505,41.2,11.8,41.2,101.021462222,94.97641,33.3,50.9
665489,"Guerrero Jr., Vladimir",46,0.9019607843137256,32,74.657136957,0.5434782608695653,0.34375,0.2391304347826087,0.28125,0.1956521739130435,7.422771522,1,-1.9255798493961,14,0.3043478260869565,16,0.3478260869565217,2025,"Guerrero Jr., Vladimir",665489,2025,31,25.8,9.7,0.275,0.332,0.411,30.0,10.0,70.0,106.742569,99.5878865,25.4,46.8
677594,"Rodríguez, Julio",48,0.96,23,74.590296667,0.3958333333333333,0.391304347826087,0.1875,0.217391304347826,0.1041666666666666,7.71897125,1,-1.59267426248619,25,0.5208333333333334,13,0.2708333333333333,2025,"Rodríguez, Julio",677594,2025,29,31.0,17.2,0.356,0.347,0.398,15.4,7.7,61.5,102.335311429,96.852006923,50.0,49.1
671218,"Ramos, Heliot",67,0.881578947368421,53,74.519574925,0.4776119402985074,0.1886792452830188,0.1492537313432835,0.0943396226415094,0.0746268656716417,6.803893582,2,2.8003033370135326,14,0.208955223880597,15,0.2238805970149253,2025,"Ramos, Heliot",671218,2025,26,42.3,0.0,0.418,0.238,0.412,40.0,6.7,46.7,101.6704625,95.709051333,25.0,63.3
663728,"Raleigh, Cal",47,0.903846153846154,31,74.511884043,0.5319148936170213,0.2903225806451613,0.1914893617021276,0.1935483870967742,0.1276595744680851,7.762410851,1,-3.573615092294334,16,0.3404255319148936,16,0.3404255319148936,2025,"Raleigh, Cal",663728,2025,28,25.0,14.3,0.236,0.294,0.322,17.6,11.8,41.2,100.808215556,94.78082,36.5,46.0
621566,"Olson, Matt",42,0.9130434782608696,34,74.502618571,0.5238095238095238,0.2941176470588235,0.238095238095238,0.1764705882352941,0.1428571428571428,7.441411429,1,-2.7319255114218164,8,0.1904761904761904,14,0.3333333333333333,2025,"Olson, Matt",621566,2025,29,17.2,24.1,0.328,0.47,0.518,23.5,29.4,64.7,104.087763333,97.833854118,17.9,41.5
592518,"Machado, Manny",41,0.9318181818181818,30,74.480695122,0.4390243902439024,0.5,0.3658536585365853,0.3,0.2195121951219512,7.900252195,1,0.3560316199881861,11,0.2682926829268293,19,0.4634146341463415,2025,"Machado, Manny",592518,2025,27,11.1,7.4,0.421,0.343,0.358,22.7,4.5,50.0,102.903347273,95.792451818,26.7,46.9
665487,"Tatis Jr., Fernando",46,0.8846153846153846,36,74.452098261,0.5000000000000001,0.3333333333333333,0.2608695652173913,0.25,0.1956521739130435,7.175047391,0,0.3027468135183234,10,0.217391304347826,20,0.4347826086956521,2025,"Tatis Jr., Fernando",665487,2025,31,3.2,12.9,0.453,0.545,0.543,30.8,19.2,38.5,101.898996154,95.385324,18.5,46.2
663457,"Nootbaar, Lars",44,0.8979591836734694,37,74.423458636,0.5227272727272727,0.3783783783783784,0.3181818181818182,0.2162162162162162,0.1818181818181818,6.992168864,0,2.4842212154403733,7,0.1590909090909091,19,0.4318181818181818,2025,"Nootbaar, Lars",663457,2025,30,10.0,16.7,0.513,0.501,0.517,47.6,9.5,57.1,105.380897273,98.276139524,15.7,37.8
669065,"Stowers, Kyle",48,0.8888888888888888,31,74.275961042,0.4791666666666666,0.2580645161290322,0.1666666666666666,0.2258064516129032,0.1458333333333333,6.595533958,3,-1.6232670450639692,17,0.3541666666666667,12,0.25,2025,"Stowers, Kyle",669065,2025,26,26.9,23.1,0.403,0.42,0.506,33.3,16.7,66.7,103.593511667,97.4111,38.2,48.2
671732,"Butler, Lawrence",46,0.9019607843137256,32,74.240489783,0.4347826086956521,0.34375,0.2391304347826087,0.1875,0.1304347826086956,6.79178913,0,-3.3011680330886755,14,0.3043478260869565,19,0.4130434782608695,2025,"Butler, Lawrence",671732,2025,29,10.3,17.2,0.267,0.335,0.298,23.8,9.5,38.1,100.451536364,94.59360381,30.8,48.6
