,accuracy,precision,recall,f1
random_forest,0.40049474335188623,0.37303435710621025,0.40049474335188623,0.37663276057151457
xgboost,0.39468150896722326,0.36274600973519383,0.39468150896722326,0.3673144321314814
lightgbm,0.40371057513914654,0.37406710203374727,0.40371057513914654,0.3721369456008755
catboost,0.40915275200989487,0.36668264228454706,0.40915275200989487,0.3646381166430763
